,movie_id,start_year,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross
152,tt1037705,2010,"Action,Adventure,Drama",6.9,271307,The Book of Eli,WB,94800000,62300000
153,tt1038919,2010,"Action,Comedy,Romance",5.6,112444,The Bounty Hunter,Sony,67099999,69300000
154,tt1041804,2010,"Action,Family,Fantasy",4.3,3119,The Nutcracker in 3D,Free,195000,16000000
155,tt1043726,2014,"Action,Adventure,Fantasy",4.2,50352,The Legend of Hercules,LG/S,18800000,42400000
156,tt1045658,2012,"Comedy,Drama,Romance",7.7,621018,Silver Linings Playbook,Wein.,132100000,104300000
157,tt1047540,2012,"Comedy,Family",6.1,23711,Parental Guidance,Fox,77300000,42500000
158,tt1049402,2010,"Biography,Drama,Romance",6.8,12096,Howl,Osci.,617000,566000
159,tt2393827,2015,"Action,Fantasy,Horror",5.3,9732,Howl,Osci.,617000,566000
160,tt1051904,2015,"Adventure,Comedy,Family",6.3,72858,Goosebumps,Sony,80100000,70100000
161,tt1053424,2010,"Action,Crime,Sci-Fi",6.3,96144,Repo Men,Uni.,13800000,4600000
162,tt1053810,2011,Comedy,6.2,39522,The Big Year,Fox,7200000,244000
163,tt1055292,2010,"Comedy,Drama,Romance",6.6,113077,Life as We Know It,WB,53400000,52300000
164,tt1065073,2014,Drama,7.9,315584,Boyhood,IFC,25400000,19100000
165,tt1067583,2011,"Drama,Romance",6.9,105812,Water for Elephants,Fox,58700000,58400000
166,tt1067774,2011,"Adventure,Comedy,Family",5.8,38731,Monte Carlo,Fox,23200000,16500000
167,tt1071875,2011,"Action,Fantasy,Thriller",4.3,103608,Ghost Rider: Spirit of Vengeance,Sony,51800000,80800000
168,tt1074638,2012,"Action,Adventure,Thriller",7.8,592221,Skyfall,Sony,304400000,804200000
169,tt1075747,2010,"Action,Drama,Fantasy",4.7,51860,Jonah Hex,WB,10500000,356000
170,tt1077368,2012,"Comedy,Fantasy,Horror",6.2,229818,Dark Shadows,WB,79700000,165800000
171,tt1078897,2010,"Horror,Thriller",6.7,49,Hysteria,SPC,1800000,7700000
172,tt1435513,2011,"Comedy,Romance",6.7,29014,Hysteria,SPC,1800000,7700000
173,tt5467982,2016,"Drama,Thriller",7.4,18,Hysteria,SPC,1800000,7700000
174,tt1083452,2015,"Biography,Comedy,Drama",7.4,75331,Eddie the Eagle,Fox,15800000,30400000
175,tt1085448,2010,Drama,6.6,10,Lights Out,WB (NL),67300000,81600000
176,tt2611518,2013,Drama,8.6,22,Lights Out,WB (NL),67300000,81600000
177,tt4786282,2016,"Drama,Horror,Mystery",6.3,100650,Lights Out,WB (NL),67300000,81600000
